country,date,GNC,n_ports,mean_NC,mean_observations_per_port,total_observations
Belgien,2023-06-12,-0.9056480494189904,1,1888.0,1.0,1
Belgien,2023-06-14,1.3517955608127128,1,28194.0,6.0,6
Belgien,2023-06-19,-0.5340509402715667,1,1952.0,1.0,1
Belgien,2023-06-24,0.5088087010381528,1,24851.0,6.0,6
Belgien,2023-07-02,-0.3324484697261898,1,1739.0,1.0,1
Belgien,2023-07-04,0.10491465850391712,1,2145.0,1.0,1
Belgien,2023-07-07,-0.09213390804769321,1,1627.0,1.0,1
Belgien,2023-07-12,-0.0014805743124561843,1,1615.0,1.0,1
Belgien,2023-08-16,0.009206231363688921,1,2229.0,1.0,1
Belgien,2023-08-18,0.9685131758666503,1,15465.0,4.0,4
Belgien,2023-08-23,-0.17865583399618962,1,6330.0,2.0,2
Belgien,2023-08-26,-0.4563553523865709,1,1610.0,1.0,1
Belgien,2023-09-05,0.04515897886914564,1,2529.0,1.0,1
Belgien,2023-09-07,1.1132033318434207,1,23435.0,6.0,6
Belgien,2023-09-10,-0.8565942892460218,1,1794.0,1.0,1
Belgien,2023-09-15,0.02283686943078216,1,2011.0,1.0,1
Belgien,2023-09-27,-0.13647331914894054,1,391.0,1.0,1
Belgien,2023-10-02,0.44866364892761423,1,3685.0,1.0,1
Belgien,2023-10-07,0.37096256621490864,1,23549.0,6.0,6
Belgien,2023-10-10,-0.7903602150477397,1,2199.0,1.0,1
Belgien,2023-10-17,0.332507850721388,1,22546.0,6.0,6
Belgien,2023-10-22,-0.06485397339001472,1,16302.0,4.0,4
Belgien,2023-11-11,-0.0772558973323271,1,3477.0,2.0,2
Belgien,2023-12-26,0.03556240149863352,1,17227.0,5.0,5
Belgien,2024-01-10,-0.013557161874306918,1,14057.0,6.0,6
Belgien,2024-02-09,-0.06132581731638694,1,2233.0,1.0,1
Belgien,2024-02-17,-0.015473843227192807,1,1973.0,1.0,1
Belgien,2024-02-27,0.022263658045417502,1,2465.0,1.0,1
Belgien,2024-03-08,-0.014560045437817326,1,2131.0,1.0,1
Belgien,2024-03-20,0.16496065565944354,1,15427.0,3.0,3
Belgien,2024-03-25,0.020825629936758717,1,17120.0,3.0,3
Belgien,2024-04-12,-0.14161507827819778,1,1338.0,1.0,1
Belgien,2024-05-07,0.0109882347123213,1,1761.0,1.0,1
Belgien,2024-05-12,0.037672090081137456,1,2126.0,1.0,1
Belgien,2024-05-14,0.9374184306557298,1,13861.0,3.0,3
Belgien,2024-06-03,-0.1343354127033926,1,944.0,1.0,1
Belgien,2024-06-11,0.09227468889871526,1,1975.0,1.0,1
Belgien,2024-06-23,-0.00612699307054602,1,1835.0,1.0,1
Belgien,2024-06-26,0.07135202112129087,1,2273.0,1.0,1
Belgien,2024-06-28,-0.0002200220057506641,1,2272.0,1.0,1
Belgien,2024-07-11,0.01215703777974213,1,2661.0,1.0,1
Belgien,2024-07-18,0.04384899442491541,1,3617.0,2.0,2
